TYPE,PLANETS,GREEK,ENGLISH,SENTIMENT
single,Sun,βασιλείαν,kingship,good
single,Sun,ἡγεμονίαν,rule,good
single,Sun,νοῦν,intellect,good
single,Sun,φρόνησιν,intelligence,good
single,Sun,μορφήν,beauty,good
single,Sun,κίνησιν,motion,neutral
single,Sun,ὕψος τύχης,loftiness of fortune,good
single,Sun,θεῶν χρηματισμόν,ordinance of gods,good
single,Sun,κρίσιν,judgement,good
single,Sun,δημοσίωσιν,public reputation,good
single,Sun,πρᾶξιν,action,good
single,Sun,προστασίαν ὀχλικήν,authority over masses,good
single,Sun,πατέρα,father,neutral
single,Sun,δεσπότην,master,neutral
single,Sun,φιλίαν,friendship,good
single,Sun,ἔνδοξα πρόσωπα,noble people,good
single,Sun,τιμὰς εἰκόνων,honours of pictures,good
single,Sun,τιμὰς ἀνδριάντων,honours of statues,good
single,Sun,τιμὰς στεμμάτων,honours of garlands,good
single,Sun,ἀρχιερατείας,high priesthoods,good
single,Sun,πατρίδος,[rule over] homeland,good
single,Sun,κεφαλῆς,head,neutral
single,Sun,ὀφθαλμοῦ δεξιοῦ,right eye,neutral
single,Sun,καρδίας,heart,neutral
single,Sun,νεύρων,nerves,neutral
single,Sun,χρυσοῦ,gold,neutral
single,Sun,σίτου καὶ κριθῶν,wheat and barley,neutral
single,Sun,ἠμερινῆς,diurnal,neutral
single,Sun,κίτρινος,yellow,neutral
single,Sun,δριμύς,bitter,neutral
single,Moon,ζωήν,life,neutral
single,Moon,σῶμα,body,neutral
single,Moon,μητέρα,mother,good
single,Moon,σύλληψιν,conception,neutral
single,Moon,μορφήν,beauty,good
single,Moon,πρόσωπον,appearance,neutral
single,Moon,θεάν,sight,neutral
single,Moon,συμβίωσιν ἤτοι γάμον νομικόν,living together and legal marriage,good
single,Moon,τροφόν,nurture,good
single,Moon,ἀδελφὸν μείζονα,older brother,neutral
single,Moon,οἰκουρίαν,housekeeping,good
single,Moon,βασίλισσαν,queen,good
single,Moon,δέσποιναν,mistress,neutral
single,Moon,χρήματα,possessions,good
single,Moon,τύχην,fortune,good
single,Moon,πόλιν,city,good
single,Moon,ὄχλων συστροφήν,assembly of people,neutral
single,Moon,λήμματα,gains,good
single,Moon,ἀναλώματα,expenses,bad
single,Moon,οἰκίαν,household,good
single,Moon,πλοῖα,voyages,neutral
single,Moon,ξενιτείας,travel,neutral
single,Moon,πλάνας,wanderings,neutral
single,Moon,ὀφθαλμοῦ ἀριστεροῦ,left eye,neutral
single,Moon,στομάχου,stomach,neutral
single,Moon,μαζῶν,breasts,neutral
single,Moon,φύσης,breath,neutral
single,Moon,σπληνός,spleen,neutral
single,Moon,μηνίγγων,membrane around brain / spinal cord,neutral
single,Moon,μυελοῦ,marrow,neutral
single,Moon,ὑδρωπικοὺς,dropsy,bad
single,Moon,ἀσήμου,silver,neutral
single,Moon,ὑέλου,glass,neutral
single,Moon,νυκτερινῆς,nocturnal,neutral
single,Moon,πράσινος,green,neutral
single,Moon,ἁλμυρά,salty,neutral
single,Saturn,μικρολόγους,petty,bad
single,Saturn,βασκάνους,malignant,bad
single,Saturn,πολυμερίμνους,care-worn,bad
single,Saturn,ἑαυτοὺς καταρρίπτοντας,self-depreciating,bad
single,Saturn,μονοτρόπους,solitary,bad
single,Saturn,τυφώδεις,deceitful,bad
single,Saturn,ἀποκρύπτοντας τὴν δολιότητα,secretive in trickery,bad
single,Saturn,αὐστηρούς,strict,neutral
single,Saturn,κατανενευκότας,downcast,bad
single,Saturn,ὑποκρινομένην τὴν ὅρασιν,hypocritical air,bad
single,Saturn,αὐχμηρούς,squalid,bad
single,Saturn,μελανοείμονας,Black-clad,bad
single,Saturn,προσαιτητικούς,dogged,bad
single,Saturn,καταστύγνους,Sad-looking,bad
single,Saturn,κακοπαθεῖς,miserable,bad
single,Saturn,πλευστικούς,nautical,neutral
single,Saturn,πάρυγρα πράσσοντας,waterside trades,neutral
single,Saturn,ταπεινότητας,humblings,bad
single,Saturn,νωχελίας,sluggishness,bad
single,Saturn,ἀπραξίας,unemployment,bad
single,Saturn,ἐγκοπὰς τῶν πρασσομένων,obstacles in business,bad
single,Saturn,πολυχρονίους δίκας,interminable lawsuits,bad
single,Saturn,ἀνασκευὰς πραγμάτων,subversion of business,bad
single,Saturn,κρυβάς,secrets,bad
single,Saturn,συνοχάς,imprisonment,bad
single,Saturn,δεσμά,chains,bad
single,Saturn,πένθη,grief,bad
single,Saturn,κατιτιασμούς,accusations,bad
single,Saturn,δάκρυα,tears,bad
single,Saturn,ὀρφανίας,bereavement,bad
single,Saturn,αἰχμαλωσίας,capture,bad
single,Saturn,ἐκθέσεις,exposures of children,bad
single,Saturn,γεηπόνους,serfs,neutral
single,Saturn,γεωργοὺς,farmers,neutral
single,Saturn,μισθωτάς κτημάτων,renters of property,neutral
single,Saturn,τελώνας,tax farmers,neutral
single,Saturn,βιαίους πράξεις,violent in action,bad
single,Saturn,δόξας μεγάλας,great ranks,good
single,Saturn,τάξεις ἐπισήμους,distinguished positions,good
single,Saturn,ἐπιτροπείας,supervisions,good
single,Saturn,ἀλλοτρίων διοικητὰς,management of others' property,good
single,Saturn,ἀλλοτρίων τέκνων πατέρας,fathership of others' children,neutral
single,Saturn,μολύβδου,lead,neutral
single,Saturn,ξύλων,wood,neutral
single,Saturn,λίθων,stone,neutral
single,Saturn,σκελῶν,legs,neutral
single,Saturn,γονάτων,knees,neutral
single,Saturn,νεύρων,tendons,neutral
single,Saturn,ἰχώρων,lymph,neutral
single,Saturn,φλέγματος,phlegm,neutral
single,Saturn,κύστεως,bladder,neutral
single,Saturn,νεφρῶν καὶ τῶν ἐντὸς ἀποκρύφων,kidneys and other internal organs,neutral
single,Saturn,σινῶν ἐκ ψύξεως καὶ ὑγρότητος,injuries from cold and moisture,bad
single,Saturn,ὑδρωπικῶν,dropsy,bad
single,Saturn,νεύρων ἀλγηδόνων,neuralgia,bad
single,Saturn,ποδάγρας,gout,bad
single,Saturn,βηχός,cough,bad
single,Saturn,δυσεντερίας,dysentry,bad
single,Saturn,κηλῶν,hernia,bad
single,Saturn,σπασμῶν,spasms,bad
single,Saturn,δαιμονισμοῦ,possession,bad
