TERM,TRANSLATION,TRIPLE,SENTIMENT,SPECIFICITY
________,unsteady,Sa J Su,bad,generic
________,insecure,Sa J Su,bad,generic
_____________ ________,loss of possessions,Sa J Su,bad,specific
__________ ______,bad rumours,Sa J Su,bad,specific
________ ________,unexpected help,Sa J Su,good,specific
________ ________,help from legacies,Sa J Su,good,specific
____ _______________,augment reputation,Sa J Su,good,specific
___________,ruin,Sa J Su,bad,generic
______,rumours,Sa J Su,bad,specific
__________ _________,sudden dangers,Sa J Su,bad,specific
_________,plots,Sa J Su,bad,specific
__________,pre-eminence,Sa J Su,good,generic
_________ _________ _________,management of others' business,Sa J Su,good,specific
__________,tax gathering,Sa J Su,good,specific
_________,salaries,Sa J Su,good,specific
________,unsteady,Sa J Su,bad,generic
________,worrying,Sa J Su,bad,generic
________,harmony,Sa J Moo,good,generic
_____,rank,Sa J Moo,good,specific
________,profit,Sa J Moo,good,specific
_________ ________,associations with the great,Sa J Moo,good,specific
______,gifts,Sa J Moo,good,generic
___ _____ / ___ _____ ___________ _____ _________,succeed abroad / with foreigners in own business,Sa J Moo,good,specific
___ _____ / ___ _____ ___________ _________ _________,succeed abroad / with foreigners in others' business,Sa J Moo,good,specific
_____________ ___ _______,benefit from women,Sa J Moo,good,generic
__________ ________ ___ _____,gain possession of estates and lands,Sa J Moo,good,specific
_________,be ship-owners,Sa J Moo,good,specific
________ ____________ ____,get living from water,Sa J Moo,neutral,specific
________,famous,Sa J Mar,good,specific
_____________,Like a high priest,Sa J Mar,good,specific
___________,governing,Sa J Mar,good,specific
____________,influential,Sa J Mar,good,generic
__________ (_____ ___ _____ ___ ____________),rulers (of crowds / lands / armies),Sa J Mar,good,specific
__ _____________,not decorated (financially),Sa J Mar,bad,specific
___________,reversals (subject to),Sa J Mar,bad,specific
___________,accusations (subject to),Sa J Mar,bad,specific
_______ _______________,violent confrontations,Sa J Mar,bad,specific
________,worries,Sa J Mar,bad,generic
________,properties,Sa J Mar,good,specific
________,estates,Sa J Mar,good,specific
________ ________,benefit from dead,Sa J Mar,good,specific
_____ _______,low reputation,Sa J Mar,bad,specific
______,good,Sa J V,good,generic
________,helpful in occupations,Sa J V,good,generic
____________,bring possessions,Sa J V,good,specific
_________ _________ ___ _______,associations of men and women,Sa J V,good,generic
______,friendships,Sa J V,good,specific
____________,advancement,Sa J V,good,generic
________ __________,benefits from legacies,Sa J V,good,specific
_________,slandered,Sa J V,bad,specific
__________,envied,Sa J V,bad,specific
_________ __________,unstable marriages,Sa J V,bad,specific
______,embarrassments,Sa J V,bad,specific
______,hostilities,Sa J V,bad,specific
_______,judgements,Sa J V,bad,specific
____________,fond of associates,Sa J V,good,specific
____________,easy to live with,Sa J V,good,specific
_______ _________ _______,much joy from friends,Sa J V,good,specific
__ ___ ______ _____________,not entirely tranquil,Sa J V,bad,generic
____ ______,not without grief (from children / slaves),Sa J V,bad,specific
__________,vigorous,Sa J Mer,good,generic
____________,stewards,Sa J Mer,good,specific
_______,trustworthy,Sa J Mer,good,specific
__________ _____,pre-eminent among crowds,Sa J Mer,good,generic
__________ ___ _____________,commanding and obeyed,Sa J Mer,good,specific
________ ________,handlers of money,Sa J Mer,good,specific
__________ _____ _ _____,directors of documents and accounts,Sa J Mer,good,specific
